Customer ID,Probabilidad_Recompra,Average_Order_Value,Expected_Revenue,Segmento_CRM
15749,0.6920773060730239,8264.865133333335,5719.925596534197,Dudoso (Incentivar)
14088,0.9003551720230558,4132.432566666667,3720.657034434845,Alta Probabilidad
13687,0.3042943045304446,11880.84,3615.2719450374875,Riesgo de Fuga
12357,0.575459951106968,6039.995,3475.775227386331,Dudoso (Incentivar)
12590,0.6649848569975468,4932.13,3279.7917627433108,Dudoso (Incentivar)
12753,0.8254552782549627,3235.1275,2670.4530707027816,Alta Probabilidad
18052,0.20611360868193698,10877.18,2241.9348220829916,Riesgo de Fuga
12477,0.8684473725304604,2326.7200000000003,2020.6338706140732,Alta Probabilidad
13340,0.7950809893073671,2507.0183333333334,1993.2826166783734,Alta Probabilidad
17940,0.8423958730520613,2254.0541272727273,1898.8058944505112,Alta Probabilidad
12454,0.5721658648350217,3287.86,1881.2012603564747,Dudoso (Incentivar)
14277,0.8664010552209683,2091.2342857142858,1811.847591857125,Alta Probabilidad
12918,0.15547099732677144,10953.5,1702.951569218791,Riesgo de Fuga
12435,0.8272407175120836,2015.006,1666.8950092311536,Alta Probabilidad
12409,0.5319400851136588,3086.6549999999997,1641.9155234165003,Dudoso (Incentivar)
12415,0.912254385153895,1771.0425285714286,1615.6413129833281,Alta Probabilidad
17404,0.9063086043913486,1771.0425285714286,1605.1110823872966,Alta Probabilidad
12744,0.895451970451402,1787.5525,1600.6674084103297,Alta Probabilidad
12451,0.8823419342505666,1788.4360000000001,1578.0120795233465,Alta Probabilidad
12557,0.8362136616135935,1826.6333333333334,1527.4557480921103,Alta Probabilidad
12346,0.7299389936562838,2066.2162833333336,1508.2118345325605,Alta Probabilidad
13902,0.2960538001669032,4958.919080000001,1468.1068383541635,Riesgo de Fuga
12539,0.8664187262365518,1694.015,1467.7263185256124,Alta Probabilidad
17107,0.8892130904908129,1562.1000000000001,1389.039768655699,Alta Probabilidad
12678,0.9095563113275116,1502.9386666666667,1367.0073498048218,Alta Probabilidad
12497,0.510672390900712,2602.7000000000003,1329.1270317972833,Dudoso (Incentivar)
17133,0.8683482835475184,1526.1100000000001,1325.1949990047033,Alta Probabilidad
14063,0.516252408061336,2523.355555555556,1302.688381950506,Dudoso (Incentivar)
12731,0.9066388861483026,1373.6263636363635,1245.3830763112157,Alta Probabilidad
14439,0.6485217494062493,1888.6080000000002,1224.8033641026377,Dudoso (Incentivar)
18251,0.4428012894540868,2745.5175,1215.7186892187608,Dudoso (Incentivar)
13139,0.8453216987996086,1436.0200000000002,1213.8988659102142,Alta Probabilidad
13802,0.8789565889382152,1377.263888888889,1210.5551698455588,Alta Probabilidad
15032,0.8693201794644333,1376.25625,1196.407330239048,Alta Probabilidad
12939,0.8545416064215269,1394.088,1191.3061990129736,Alta Probabilidad
17450,0.9104631460552817,1304.978705263158,1188.135017529043,Alta Probabilidad
15760,0.17016359451111437,6958.17,1184.0272184194007,Riesgo de Fuga
12758,0.8082247540978067,1446.9733333333334,1169.479666519417,Alta Probabilidad
12511,0.37915526293328594,3084.02,1169.3224139915126,Riesgo de Fuga
13334,0.8339785758261844,1352.0175,1127.5536291420783,Alta Probabilidad
13316,0.884003315354984,1261.4814285714288,1115.1537651158844,Alta Probabilidad
12714,0.8941840732601456,1238.53,1107.4738002548881,Alta Probabilidad
12625,0.842318285267557,1291.22,1087.618216303175,Alta Probabilidad
12356,0.8584603504417982,1262.676,1083.957281454448,Alta Probabilidad
17340,0.9092528510086322,1187.9518181818182,1080.1485775427066,Alta Probabilidad
16873,0.9002151184696487,1191.9133333333332,1072.9784025722204,Alta Probabilidad
14733,0.9136689024224232,1150.62,1051.2857125052885,Alta Probabilidad
12668,0.899787492939194,1166.7055555555555,1049.787066831563,Alta Probabilidad
13135,0.6214210350584815,1685.725,1047.5449743239585,Dudoso (Incentivar)
15251,0.8894260317107573,1161.2725,1032.8659914098305,Alta Probabilidad
13437,0.7137768419130206,1440.9,1028.4810515124714,Alta Probabilidad
16652,0.8917058686936248,1152.5866666666668,1027.7682948446895,Alta Probabilidad
12433,0.7081169754171153,1441.078,1020.4517947001456,Alta Probabilidad
14105,0.8512999677854747,1197.766,1019.6581572145369,Alta Probabilidad
14258,0.9019210530136214,1127.0270636363637,1016.4894360097587,Alta Probabilidad
17084,0.45050255713285914,2253.22,1015.0813717829008,Dudoso (Incentivar)
15838,0.8994998040795515,1127.0270636363637,1013.7606229332614,Alta Probabilidad
12501,0.46573501816534646,2169.39,1010.3608910577209,Dudoso (Incentivar)
14062,0.9107256379648698,1108.635,1009.6623176451834,Alta Probabilidad
12770,0.6215705281057895,1623.225,1008.9488204845201,Dudoso (Incentivar)
14286,0.8541059179038353,1180.218,1008.0311782166287,Alta Probabilidad
13373,0.7628126351285961,1315.66,1003.6020715332888,Alta Probabilidad
14936,0.857128640786717,1170.03,1002.8662235796825,Alta Probabilidad
16118,0.2256377531526333,4376.25,987.4472172342114,Riesgo de Fuga
14145,0.7863411626078316,1246.6125,980.2627225714555,Alta Probabilidad
13344,0.5918798591630805,1656.15,980.2418287529358,Dudoso (Incentivar)
14028,0.28220081232790273,3465.5,977.9669151223469,Riesgo de Fuga
14459,0.27459480621856835,3537.821,971.4672719309817,Riesgo de Fuga
15786,0.5421875765979458,1791.31,971.2260278356663,Dudoso (Incentivar)
14091,0.20168430528297204,4765.04,961.033782045573,Riesgo de Fuga
16152,0.5214949865341715,1829.04,953.835190170461,Dudoso (Incentivar)
13081,0.9139700821889118,1033.1081416666668,944.2299331491174,Alta Probabilidad
14016,0.9010285646034746,1042.683,939.4871668264446,Alta Probabilidad
12406,0.8164110166524091,1149.0775,938.1195299874087,Alta Probabilidad
13124,0.8260490654723244,1133.9333333333334,936.6845703079177,Alta Probabilidad
16320,0.8597922934426011,1088.642,936.0060019179402,Alta Probabilidad
12633,0.884583458915093,1048.7459999999999,927.7033642033681,Alta Probabilidad
13225,0.8877906522557047,1041.393076923077,924.5390390161137,Alta Probabilidad
12705,0.9092560799368783,1007.23875,915.8379573855213,Alta Probabilidad
17308,0.40370805330956633,2255.88,910.7169232999845,Dudoso (Incentivar)
16131,0.891177507142296,1014.425,904.0327426828236,Alta Probabilidad
15125,0.9137273787328258,985.1623076923078,900.169773034074,Alta Probabilidad
15382,0.9086059512631122,990.4960000000001,899.9705603023076,Alta Probabilidad
13572,0.649094246727904,1384.25,898.508711033101,Dudoso (Incentivar)
17381,0.8984769133976306,991.7838160000001,891.0948617574037,Alta Probabilidad
15150,0.8831241032427215,1000.936,883.9507074033568,Alta Probabilidad
12766,0.892087376916219,990.8449999999999,883.9203169805509,Alta Probabilidad
13458,0.9138612295104014,952.5311111111112,870.4812523469088,Alta Probabilidad
14049,0.9141097682474687,951.1354545454545,869.4422099264963,Alta Probabilidad
15296,0.8948593249603027,969.7511111111112,867.7908246683925,Alta Probabilidad
16180,0.8920256624860414,971.2355555555556,866.367039874443,Alta Probabilidad
12428,0.808820904967736,1051.7566666666667,850.6827789391828,Alta Probabilidad
13881,0.9115585615579234,918.3183481481482,837.1009524901742,Alta Probabilidad
17686,0.8940915181339243,932.35,833.6062269321643,Alta Probabilidad
12380,0.8821369883319964,944.88,833.5135975351368,Alta Probabilidad
16732,0.6605887538532862,1261.2966666666666,833.198393272637,Dudoso (Incentivar)
16532,0.6376023258003327,1306.08,832.7596456812985,Dudoso (Incentivar)
12578,0.7210996418342159,1152.2,830.8510073213836,Alta Probabilidad
12709,0.9026188822786494,918.3183481481482,828.8914809814571,Alta Probabilidad
16546,0.7800129981986532,1061.414,827.9167164700253,Alta Probabilidad
17857,0.8946056022375105,925.184,827.674789500509,Alta Probabilidad
18008,0.8817973733265472,938.4904761904761,827.5584367967423,Alta Probabilidad
12669,0.7226815406548844,1136.3,821.1830346461452,Alta Probabilidad
16072,0.7853133702626467,1045.0225,820.6701414752968,Alta Probabilidad
13952,0.8942648193961631,915.9657857142857,819.1159779348503,Alta Probabilidad
16210,0.9145550158519118,894.5338461538462,818.1004158493024,Alta Probabilidad
15980,0.83248438841034,981.0,816.6671850305436,Alta Probabilidad
15523,0.726506862162796,1123.1453333333334,815.9727918727876,Alta Probabilidad
12818,0.5276225108081485,1542.08,813.6361214670296,Dudoso (Incentivar)
13505,0.8449388653312404,958.045,809.4894552362682,Alta Probabilidad
12700,0.7380013546362272,1092.43,806.2148198452537,Alta Probabilidad
15228,0.778452023537547,1032.8033333333333,803.987844749657,Alta Probabilidad
14737,0.5647918914858281,1411.81,797.3788403186069,Dudoso (Incentivar)
14930,0.7930239636463313,994.475,788.6425062471853,Alta Probabilidad
15497,0.7537090598817099,1045.7237499999999,788.1714645084761,Alta Probabilidad
13027,0.888994379955267,885.45,787.1600737313912,Alta Probabilidad
13763,0.44818246311513266,1751.24,784.8750567057449,Dudoso (Incentivar)
13098,0.9123038692632545,859.4411111111111,784.0714510705773,Alta Probabilidad
12585,0.7654364042364026,1020.05,780.7834041413424,Alta Probabilidad
16253,0.8791582805327576,881.4566666666666,774.9399274308026,Alta Probabilidad
14607,0.8661312477639663,894.2922222222222,774.5744382989436,Alta Probabilidad
14895,0.9048020324026472,852.4100000000001,771.2623004403406,Alta Probabilidad
13680,0.7593855064432617,1009.2139999999999,766.3824844996299,Alta Probabilidad
17044,0.7618381999419973,1001.2563636363636,762.7953457531971,Alta Probabilidad
14426,0.8685287386587142,874.1850000000001,759.2547954043681,Alta Probabilidad
15502,0.8645011679458957,876.5666666666666,757.7929071157739,Alta Probabilidad
16705,0.9162243886517386,826.4865133333334,757.2471004077404,Alta Probabilidad
12653,0.5534345837870234,1365.04,755.4603442526384,Dudoso (Incentivar)
14769,0.9132781439169664,825.4907692307692,753.9026775436657,Alta Probabilidad
14565,0.8553386601119065,879.2166666666667,752.0280056147234,Alta Probabilidad
17625,0.8353601669625059,900.106,751.9126984439533,Alta Probabilidad
14935,0.5263775271549771,1424.915,750.0432341060342,Dudoso (Incentivar)
16398,0.6396599082913696,1169.95,748.370109705488,Dudoso (Incentivar)
15123,0.8464857646421038,881.5825,746.2470366075975,Alta Probabilidad
15640,0.9167083163368636,808.444090909091,741.107421429759,Alta Probabilidad
12481,0.9159646197676796,807.4783333333334,739.6215845623063,Alta Probabilidad
13235,0.7172105412074163,1031.07,739.4942727227307,Alta Probabilidad
